Race/Ethnicity,Group,Year,Sex,County,Polk,Site,Cancer,SE,Lower CI,Upper CI,Count,Rate~Ratio,Ratio~Lower CI,Ratio~Upper CI,p,Pop,Sig
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,27.4,14.1,7.2,65.6,5,0.4074,0.106,0.9783,0.0434,"42,666",1
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,39.7,15.4,15.4,79.1,8,0.5891,0.2282,1.1812,0.1528,"78,067",0
Non-Hispanic White,White,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,69.9,1.9,66.2,73.7,"1,448",,,,,"1,847,141",
Non-Hispanic Black,Black,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,97.9,11.8,76.2,123.3,84,1.4009,1.084,1.7758,0.0105,"171,274",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,113.5,69.8,20.2,367.6,3,1.6235,0.2893,5.2697,0.6067,"5,085",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,52.4,10.7,33.6,77.1,30,0.7493,0.4784,1.1085,0.1617,"111,119",0
Hispanic (All Races),Hispanic,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,53.2,13.2,30.6,83.5,23,0.7618,0.4371,1.1987,0.2569,"198,954",0
Non-Hispanic White,White,2013-2017,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,84.0,3.1,77.9,90.4,771,,,,,"902,988",
Non-Hispanic Black,Black,2013-2017,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,123.6,22.1,84.1,173.2,45,1.4725,0.9946,2.0821,0.0532,"87,048",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,46.1,46.1,1.2,428.4,1,0.5496,0.0139,5.1168,1.0000,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,81.1,21.1,45.2,132,20,0.9658,0.5354,1.5831,0.9593,"55,242",0
Hispanic (All Races),Hispanic,2013-2017,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,58.6,20.8,25.1,109.2,10,0.6974,0.2984,1.3073,0.2861,"103,300",0
Non-Hispanic White,White,2013-2017,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,59.8,2.4,55.3,64.6,677,,,,,"944,153",
Non-Hispanic Black,Black,2013-2017,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,84.6,14.5,58.7,117.1,39,1.4148,0.9722,1.9788,0.0694,"84,226",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,155.4,110.9,18.3,746.5,2,2.599,0.3051,12.5224,0.3684,"2,796",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,32.0,11.3,13.9,61.3,10,0.5355,0.2308,1.0303,0.0637,"55,877",0
Hispanic (All Races),Hispanic,2013-2017,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,49.7,16.9,22.4,90.9,13,0.8316,0.3723,1.5297,0.5993,"95,654",0
Non-Hispanic White,White,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,62.6,1.7,59.4,65.9,"1,500",,,,,"1,889,355",
Non-Hispanic Black,Black,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,74.2,10,55.9,96.1,73,1.1861,0.8892,1.5438,0.2451,"199,321",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,415.8,205.1,115.9,"1,089.40",5,6.6429,1.8494,17.4384,0.0060,"4,957",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,55.9,9.8,38.4,78.1,40,0.8926,0.6107,1.253,0.5580,"132,262",0
Hispanic (All Races),Hispanic,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Lung and Bronchus,43.8,9.5,27.2,65.4,27,0.6999,0.4332,1.0495,0.0876,"240,639",0
Non-Hispanic White,White,2018-2022,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,67.3,2.6,62.3,72.6,722,,,,,"927,905",
Non-Hispanic Black,Black,2018-2022,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,92.1,19.4,58,136.7,37,1.3692,0.8564,2.0492,0.1870,"102,863",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,297.4,297.4,7.5,"1,305.70",1,4.42,0.1117,19.4668,0.4055,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,84.9,19.1,51.7,129.8,26,1.2617,0.7635,1.9453,0.3663,"66,340",0
Hispanic (All Races),Hispanic,2018-2022,Male,IA: Polk County (19153),Polk County,Lung and Bronchus,57.9,17,29.6,97.9,16,0.8609,0.4376,1.4648,0.6136,"124,784",0
Non-Hispanic White,White,2018-2022,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,59.4,2.2,55.3,63.9,778,,,,,"961,450",
Non-Hispanic Black,Black,2018-2022,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,66.0,12.1,44.4,93.6,36,1.1101,0.7415,1.588,0.6299,"96,458",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,488.3,275.5,105.8,"1,277.40",4,8.2145,1.7755,21.5672,0.0103,"2,668",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,33.2,9.5,17.3,57.2,14,0.5584,0.2896,0.9676,0.0359,"65,922",1
Hispanic (All Races),Hispanic,2018-2022,Female,IA: Polk County (19153),Polk County,Lung and Bronchus,31.7,10.1,15.1,56.9,11,0.5329,0.2526,0.9632,0.0354,"115,855",1
Non-Hispanic White,White,2003-2007,Male and Female,Not Polk,Not Polk,Lung and Bronchus,68.2,0.7,66.8,69.5,"10,163",,,,,"11,868,621",
Non-Hispanic Black,Black,2003-2007,Male and Female,Not Polk,Not Polk,Lung and Bronchus,105.4,9.4,87.9,125.1,140,1.546,1.2873,1.8376,0.0000,"297,762",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Not Polk,Lung and Bronchus,72.2,23.5,33.7,130.7,12,1.0589,0.4941,1.9184,0.9489,"41,129",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Not Polk,Lung and Bronchus,45.4,9.5,28.7,67.7,31,0.6666,0.421,0.994,0.0463,"172,165",1
Hispanic (All Races),Hispanic,2003-2007,Male and Female,Not Polk,Not Polk,Lung and Bronchus,27.8,4.9,19,38.8,36,0.4073,0.2783,0.5691,0.0000,"463,782",1
Non-Hispanic White,White,2003-2007,Male,Not Polk,Not Polk,Lung and Bronchus,88.9,1.2,86.6,91.2,"5,839",,,,,"5,829,578",
Non-Hispanic Black,Black,2003-2007,Male,Not Polk,Not Polk,Lung and Bronchus,158.4,17.7,125.5,196.5,97,1.7821,1.4102,2.215,0.0000,"158,622",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,Not Polk,Not Polk,Lung and Bronchus,78.9,58.9,8,246.3,4,0.8874,0.0896,2.7727,0.8457,"19,986",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,Not Polk,Not Polk,Lung and Bronchus,53.1,18.5,23.3,99.3,13,0.5976,0.2622,1.118,0.1168,"85,399",0
Hispanic (All Races),Hispanic,2003-2007,Male,Not Polk,Not Polk,Lung and Bronchus,40.0,8.9,24.5,60.5,23,0.4497,0.2751,0.682,0.0000,"248,052",1
Non-Hispanic White,White,2003-2007,Female,Not Polk,Not Polk,Lung and Bronchus,53.0,0.8,51.4,54.6,"4,324",,,,,"6,039,043",
Non-Hispanic Black,Black,2003-2007,Female,Not Polk,Not Polk,Lung and Bronchus,61.7,9.6,44.3,83.1,43,1.1638,0.8343,1.5709,0.3731,"139,140",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,Not Polk,Not Polk,Lung and Bronchus,93.1,36.5,35.9,186.9,8,1.7571,0.6776,3.5296,0.2387,"21,143",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,Not Polk,Not Polk,Lung and Bronchus,42.7,11.6,23.1,71.9,18,0.8055,0.4356,1.3576,0.4842,"86,766",0
Hispanic (All Races),Hispanic,2003-2007,Female,Not Polk,Not Polk,Lung and Bronchus,17.5,5.2,8.9,30.2,13,0.3306,0.168,0.5702,0.0000,"215,730",1
Non-Hispanic White,White,2008-2012,Male and Female,Not Polk,Not Polk,Lung and Bronchus,65.6,0.7,64.3,66.9,"10,290",,,,,"11,867,227",
Non-Hispanic Black,Black,2008-2012,Male and Female,Not Polk,Not Polk,Lung and Bronchus,91.0,8.1,75.8,108,148,1.3869,1.1547,1.6482,0.0006,"369,675",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Not Polk,Lung and Bronchus,130.2,26.8,83.1,192.3,29,1.9853,1.2664,2.9337,0.0035,"43,241",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Not Polk,Lung and Bronchus,41.5,7.8,27.7,59.2,37,0.6328,0.422,0.9036,0.0098,"214,229",1
Hispanic (All Races),Hispanic,2008-2012,Male and Female,Not Polk,Not Polk,Lung and Bronchus,22.9,4.1,15.6,31.9,37,0.3485,0.2378,0.4864,0.0000,"597,466",1
Non-Hispanic White,White,2008-2012,Male,Not Polk,Not Polk,Lung and Bronchus,82.1,1.1,80,84.3,"5,789",,,,,"5,854,720",
Non-Hispanic Black,Black,2008-2012,Male,Not Polk,Not Polk,Lung and Bronchus,94.1,12.4,71.4,121.2,78,1.1457,0.8679,1.4777,0.3373,"197,713",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,Not Polk,Not Polk,Lung and Bronchus,80.5,28,35.3,160.4,11,0.9799,0.4296,1.9544,1.0000,"21,165",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,Not Polk,Not Polk,Lung and Bronchus,55.0,17.1,26.8,96.4,16,0.6699,0.3256,1.1748,0.1779,"106,882",0
Hispanic (All Races),Hispanic,2008-2012,Male,Not Polk,Not Polk,Lung and Bronchus,27.8,7.1,15.7,44.3,20,0.3386,0.1909,0.5403,0.0000,"315,744",1
Non-Hispanic White,White,2008-2012,Female,Not Polk,Not Polk,Lung and Bronchus,52.9,0.8,51.4,54.6,"4,501",,,,,"6,012,507",
Non-Hispanic Black,Black,2008-2012,Female,Not Polk,Not Polk,Lung and Bronchus,88.4,11.1,68,112.3,70,1.6689,1.2824,2.1251,0.0002,"171,962",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,Not Polk,Not Polk,Lung and Bronchus,156.4,39.1,89.3,249.9,18,2.9533,1.6857,4.7258,0.0003,"22,076",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,Not Polk,Not Polk,Lung and Bronchus,36.9,8.8,21.7,58.2,21,0.6974,0.4101,1.1007,0.1339,"107,347",0
Hispanic (All Races),Hispanic,2008-2012,Female,Not Polk,Not Polk,Lung and Bronchus,19.9,5.1,11.2,31.9,17,0.3762,0.2113,0.6035,0.0000,"281,722",1
Non-Hispanic White,White,2013-2017,Male and Female,Not Polk,Not Polk,Lung and Bronchus,64.5,0.6,63.3,65.8,"10,691",,,,,"11,826,215",
Non-Hispanic Black,Black,2013-2017,Male and Female,Not Polk,Not Polk,Lung and Bronchus,75.7,6.4,63.7,89.2,163,1.1741,0.9864,1.3844,0.0706,"454,551",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Not Polk,Lung and Bronchus,70.3,15.8,42.8,108,23,1.0894,0.6636,1.6745,0.7644,"45,872",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Not Polk,Lung and Bronchus,34.8,6,24.1,48.2,42,0.5395,0.3731,0.7471,0.0001,"291,193",1
Hispanic (All Races),Hispanic,2013-2017,Male and Female,Not Polk,Not Polk,Lung and Bronchus,18.4,3,13.1,25,46,0.2852,0.2021,0.3871,0.0000,"720,568",1
Non-Hispanic White,White,2013-2017,Male,Not Polk,Not Polk,Lung and Bronchus,75.4,1,73.4,77.4,"5,733",,,,,"5,869,665",
Non-Hispanic Black,Black,2013-2017,Male,Not Polk,Not Polk,Lung and Bronchus,93.5,10.4,74.2,116,102,1.2408,0.983,1.5418,0.0691,"244,333",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,Not Polk,Not Polk,Lung and Bronchus,87.6,26.6,43.5,155.8,13,1.162,0.5762,2.0685,0.7050,"22,541",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,Not Polk,Not Polk,Lung and Bronchus,51.0,12.4,29.7,79.7,24,0.6768,0.3938,1.0588,0.0915,"147,414",0
Hispanic (All Races),Hispanic,2013-2017,Male,Not Polk,Not Polk,Lung and Bronchus,19.2,4.5,11.4,29.8,23,0.2553,0.1516,0.395,0.0000,"377,294",1
Non-Hispanic White,White,2013-2017,Female,Not Polk,Not Polk,Lung and Bronchus,56.3,0.8,54.7,57.9,"4,958",,,,,"5,956,550",
Non-Hispanic Black,Black,2013-2017,Female,Not Polk,Not Polk,Lung and Bronchus,57.9,7.8,43.7,74.9,61,1.0299,0.7764,1.3337,0.8634,"210,218",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,Not Polk,Not Polk,Lung and Bronchus,55.9,18.8,25.3,105.5,10,0.9942,0.4497,1.8761,1.0000,"23,331",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,Not Polk,Not Polk,Lung and Bronchus,24.7,6.3,13.9,39.7,18,0.4386,0.2477,0.7066,0.0002,"143,779",1
Hispanic (All Races),Hispanic,2013-2017,Female,Not Polk,Not Polk,Lung and Bronchus,17.7,4,10.8,26.9,23,0.3149,0.1924,0.4781,0.0000,"343,274",1
Non-Hispanic White,White,2018-2022,Male and Female,Not Polk,Not Polk,Lung and Bronchus,60.6,0.6,59.4,61.8,"10,755",,,,,"11,700,594",
Non-Hispanic Black,Black,2018-2022,Male and Female,Not Polk,Not Polk,Lung and Bronchus,80.2,6.1,68.8,92.8,202,1.3239,1.1337,1.5344,0.0005,"546,906",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Not Polk,Lung and Bronchus,52.4,11.4,32.5,79.8,23,0.8653,0.5361,1.3186,0.5788,"49,345",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Not Polk,Lung and Bronchus,31.2,4.4,23.2,41,58,0.5154,0.382,0.6769,0.0000,"336,483",1
Hispanic (All Races),Hispanic,2018-2022,Male and Female,Not Polk,Not Polk,Lung and Bronchus,21.5,2.7,16.6,27.4,77,0.3556,0.2735,0.4519,0.0000,"843,681",1
Non-Hispanic White,White,2018-2022,Male,Not Polk,Not Polk,Lung and Bronchus,68.4,0.9,66.6,70.3,"5,658",,,,,"5,831,071",
Non-Hispanic Black,Black,2018-2022,Male,Not Polk,Not Polk,Lung and Bronchus,76.4,8.8,60.2,95.4,96,1.117,0.8785,1.3958,0.3678,"293,761",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,Not Polk,Not Polk,Lung and Bronchus,36.0,15.2,12.6,78,6,0.5264,0.1845,1.1407,0.1205,"24,139",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,Not Polk,Not Polk,Lung and Bronchus,25.7,5.9,15.4,40,23,0.3757,0.2255,0.5845,0.0000,"170,572",1
Hispanic (All Races),Hispanic,2018-2022,Male,Not Polk,Not Polk,Lung and Bronchus,21.0,3.9,14,29.8,37,0.3069,0.205,0.4363,0.0000,"441,297",1
Non-Hispanic White,White,2018-2022,Female,Not Polk,Not Polk,Lung and Bronchus,54.6,0.8,53,56.1,"5,097",,,,,"5,869,523",
Non-Hispanic Black,Black,2018-2022,Female,Not Polk,Not Polk,Lung and Bronchus,83.9,8.5,68,102.1,106,1.5373,1.2432,1.8749,0.0001,"253,145",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,Not Polk,Not Polk,Lung and Bronchus,66.2,16.7,37.6,108.2,17,1.2125,0.6892,1.9853,0.5131,"25,206",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,Not Polk,Not Polk,Lung and Bronchus,34.7,6.2,23.7,48.8,35,0.6365,0.4332,0.8955,0.0076,"165,911",1
Hispanic (All Races),Hispanic,2018-2022,Female,Not Polk,Not Polk,Lung and Bronchus,22.1,3.7,15.4,30.4,40,0.4048,0.2814,0.5587,0.0000,"402,384",1
Non-Hispanic White,White,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Melanoma,14.9,0.9,13.1,16.9,258,,,,,"1,689,105",
Non-Hispanic Black,Black,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Melanoma,1.7,1.7,0,8.1,1,0.111,0.0028,0.5487,0.0011,"115,761",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Melanoma,36.1,36.1,0.9,195.5,1,2.4217,0.0611,13.2205,0.6783,"5,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Melanoma,3.4,2.4,0.4,16.6,2,0.2264,0.0273,1.1262,0.0845,"67,567",0
Hispanic (All Races),Hispanic,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Melanoma,1.4,1,0.1,12.5,2,0.0906,0.0097,0.8434,0.0242,"120,193",1
Non-Hispanic White,White,2003-2007,Male,IA: Polk County (19153),Polk County,Melanoma,18.7,1.6,15.7,22.1,145,,,,,"817,157",
Non-Hispanic Black,Black,2003-2007,Male,IA: Polk County (19153),Polk County,Melanoma,3.7,3.7,0.1,19.9,1,0.1972,0.005,1.0786,0.0683,"57,878",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,IA: Polk County (19153),Polk County,Melanoma,62.3,62.3,1.6,379.2,1,3.3259,0.0836,20.5542,0.5221,"2,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,33.3,0,0,0,1.7998,0.1841,"33,249",0
Hispanic (All Races),Hispanic,2003-2007,Male,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,35.5,0,0,0,1.9124,0.1816,"64,203",0
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,Melanoma,12.2,1.2,10,14.7,113,,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,8.2,0,0,0,0.6794,0.0098,"57,883",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,325.2,0,0,0,27.0136,1.0000,"3,000",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,Melanoma,7.2,5.1,0.9,30.9,2,0.5897,0.0705,2.5875,0.8027,"34,318",0
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,Melanoma,3.1,2.2,0.3,22,2,0.2522,0.0276,1.8404,0.3330,"55,990",0
Non-Hispanic White,White,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Melanoma,19.6,1,17.6,21.8,363,,,,,"1,764,762",
Non-Hispanic Black,Black,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,4,0,0,0,0.206,0.0000,"143,423",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,104.5,0,0,0,5.3593,0.8386,"5,807",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,8.6,0,0,0,0.4421,0.0011,"83,752",1
Hispanic (All Races),Hispanic,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Melanoma,1.4,1,0.2,9.2,2,0.0716,0.0085,0.4726,0.0004,"164,122",1
Non-Hispanic White,White,2008-2012,Male,IA: Polk County (19153),Polk County,Melanoma,25.3,1.8,21.9,29.2,206,,,,,"858,098",
Non-Hispanic Black,Black,2008-2012,Male,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,11.6,0,0,0,0.4623,0.0017,"72,531",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,233.8,0,0,0,9.3013,1.0000,"2,758",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,26.3,0,0,0,1.0445,0.0562,"41,086",0
Hispanic (All Races),Hispanic,2008-2012,Male,IA: Polk County (19153),Polk County,Melanoma,1.4,1.4,0,21.1,1,0.0551,0.0014,0.8382,0.0262,"86,055",1
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Melanoma,16.0,1.3,13.6,18.8,157,,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,7,0,0,0,0.4447,0.0007,"70,892",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,203.8,0,0,0,12.8595,1.0000,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,15,0,0,0,0.948,0.0419,"42,666",1
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Melanoma,1.3,1.3,0,15.6,1,0.0842,0.0021,0.9828,0.0468,"78,067",1
Non-Hispanic White,White,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Melanoma,23.9,1.1,21.8,26.2,492,,,,,"1,847,141",
Non-Hispanic Black,Black,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Melanoma,1.0,1,0,5.7,1,0.0414,0.001,0.2383,0.0000,"171,274",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Melanoma,0.0,,0,192.5,0,0,0,8.0668,0.8618,"5,085",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Melanoma,1.1,1.1,0,8.4,1,0.0475,0.0012,0.3508,0.0000,"111,119",1
