Group,Year,Sex,Polk,Site,Cancer,p
American Indian/Alaska Native,2013-2017,Male,Not Polk,Leukemia,8.50,0.3647
Asian or Pacific Islander,2013-2017,Male,Not Polk,Leukemia,17.00,0.5128
Hispanic,2013-2017,Male,Not Polk,Leukemia,12.00,0.0042
White,2013-2017,Female,Not Polk,Leukemia,13.20,
Black,2013-2017,Female,Not Polk,Leukemia,7.70,0.1122
American Indian/Alaska Native,2013-2017,Female,Not Polk,Leukemia,11.70,1.0000
Asian or Pacific Islander,2013-2017,Female,Not Polk,Leukemia,4.80,0.0107
Hispanic,2013-2017,Female,Not Polk,Leukemia,10.30,0.3497
White,2018-2022,Male and Female,Not Polk,Leukemia,17.10,
Black,2018-2022,Male and Female,Not Polk,Leukemia,13.40,0.1667
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Leukemia,15.30,0.9668
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Leukemia,9.40,0.0052
Hispanic,2018-2022,Male and Female,Not Polk,Leukemia,10.40,0.0010
White,2018-2022,Male,Not Polk,Leukemia,22.50,
Black,2018-2022,Male,Not Polk,Leukemia,16.60,0.2053
American Indian/Alaska Native,2018-2022,Male,Not Polk,Leukemia,13.60,0.5738
Asian or Pacific Islander,2018-2022,Male,Not Polk,Leukemia,7.20,0.0007
Hispanic,2018-2022,Male,Not Polk,Leukemia,8.20,0.0000
White,2018-2022,Female,Not Polk,Leukemia,12.40,
Black,2018-2022,Female,Not Polk,Leukemia,10.50,0.5986
American Indian/Alaska Native,2018-2022,Female,Not Polk,Leukemia,16.50,0.7296
Asian or Pacific Islander,2018-2022,Female,Not Polk,Leukemia,10.80,0.7297
Hispanic,2018-2022,Female,Not Polk,Leukemia,12.60,0.9948
White,2003-2007,Male and Female,Polk County,Myeloma,4.90,
Black,2003-2007,Male and Female,Polk County,Myeloma,20.60,0.0001
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,Myeloma,15.10,0.2885
Hispanic,2003-2007,Male and Female,Polk County,Myeloma,1.10,0.4911
White,2003-2007,Male,Polk County,Myeloma,5.60,
Black,2003-2007,Male,Polk County,Myeloma,12.60,0.2537
American Indian/Alaska Native,2003-2007,Male,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2003-2007,Male,Polk County,Myeloma,46.50,0.0551
Hispanic,2003-2007,Male,Polk County,Myeloma,2.00,0.8716
White,2003-2007,Female,Polk County,Myeloma,4.50,
Black,2003-2007,Female,Polk County,Myeloma,25.50,0.0002
American Indian/Alaska Native,2003-2007,Female,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2003-2007,Female,Polk County,Myeloma,0.00,0.7150
Hispanic,2003-2007,Female,Polk County,Myeloma,0.00,0.6270
White,2008-2012,Male and Female,Polk County,Myeloma,6.40,
Black,2008-2012,Male and Female,Polk County,Myeloma,13.50,0.0640
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,Myeloma,6.40,1.0000
Hispanic,2008-2012,Male and Female,Polk County,Myeloma,1.90,0.2598
White,2008-2012,Male,Polk County,Myeloma,8.90,
Black,2008-2012,Male,Polk County,Myeloma,13.10,0.8435
American Indian/Alaska Native,2008-2012,Male,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2008-2012,Male,Polk County,Myeloma,6.80,1.0000
Hispanic,2008-2012,Male,Polk County,Myeloma,2.50,0.4918
White,2008-2012,Female,Polk County,Myeloma,4.50,
Black,2008-2012,Female,Polk County,Myeloma,19.20,0.0029
American Indian/Alaska Native,2008-2012,Female,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2008-2012,Female,Polk County,Myeloma,5.70,1.0000
Hispanic,2008-2012,Female,Polk County,Myeloma,1.30,0.7221
White,2013-2017,Male and Female,Polk County,Myeloma,7.70,
Black,2013-2017,Male and Female,Polk County,Myeloma,15.60,0.0456
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,Myeloma,10.50,0.6834
Hispanic,2013-2017,Male and Female,Polk County,Myeloma,3.60,0.3187
White,2013-2017,Male,Polk County,Myeloma,10.60,
Black,2013-2017,Male,Polk County,Myeloma,17.00,0.3683
American Indian/Alaska Native,2013-2017,Male,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2013-2017,Male,Polk County,Myeloma,12.30,0.9849
Hispanic,2013-2017,Male,Polk County,Myeloma,6.00,0.6065
White,2013-2017,Female,Polk County,Myeloma,5.70,
Black,2013-2017,Female,Polk County,Myeloma,14.30,0.0836
American Indian/Alaska Native,2013-2017,Female,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2013-2017,Female,Polk County,Myeloma,7.80,0.9058
Hispanic,2013-2017,Female,Polk County,Myeloma,1.10,0.4226
White,2018-2022,Male and Female,Polk County,Myeloma,7.00,
Black,2018-2022,Male and Female,Polk County,Myeloma,20.60,0.0005
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,Myeloma,7.20,1.0000
Hispanic,2018-2022,Male and Female,Polk County,Myeloma,5.70,0.7865
White,2018-2022,Male,Polk County,Myeloma,9.30,
Black,2018-2022,Male,Polk County,Myeloma,9.80,1.0000
American Indian/Alaska Native,2018-2022,Male,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2018-2022,Male,Polk County,Myeloma,10.70,0.9970
Hispanic,2018-2022,Male,Polk County,Myeloma,4.10,0.3781
White,2018-2022,Female,Polk County,Myeloma,5.40,
Black,2018-2022,Female,Polk County,Myeloma,29.00,0.0000
American Indian/Alaska Native,2018-2022,Female,Polk County,Myeloma,0.00,1.0000
Asian or Pacific Islander,2018-2022,Female,Polk County,Myeloma,4.90,1.0000
Hispanic,2018-2022,Female,Polk County,Myeloma,7.20,0.9830
White,2003-2007,Male and Female,Not Polk,Myeloma,5.70,
Black,2003-2007,Male and Female,Not Polk,Myeloma,13.30,0.0072
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Myeloma,2.90,0.9663
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Myeloma,0.00,0.0837
Hispanic,2003-2007,Male and Female,Not Polk,Myeloma,4.80,0.7455
White,2003-2007,Male,Not Polk,Myeloma,7.40,
Black,2003-2007,Male,Not Polk,Myeloma,20.40,0.0152
American Indian/Alaska Native,2003-2007,Male,Not Polk,Myeloma,0.00,0.8027
Asian or Pacific Islander,2003-2007,Male,Not Polk,Myeloma,0.00,0.2536
Hispanic,2003-2007,Male,Not Polk,Myeloma,7.30,1.0000
White,2003-2007,Female,Not Polk,Myeloma,4.40,
Black,2003-2007,Female,Not Polk,Myeloma,8.10,0.3010
American Indian/Alaska Native,2003-2007,Female,Not Polk,Myeloma,5.40,1.0000
Asian or Pacific Islander,2003-2007,Female,Not Polk,Myeloma,0.00,0.3596
Hispanic,2003-2007,Female,Not Polk,Myeloma,2.40,0.4985
White,2008-2012,Male and Female,Not Polk,Myeloma,6.30,
Black,2008-2012,Male and Female,Not Polk,Myeloma,19.00,0.0000
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Myeloma,20.00,0.1535
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Myeloma,1.60,0.0719
Hispanic,2008-2012,Male and Female,Not Polk,Myeloma,4.20,0.3089
White,2008-2012,Male,Not Polk,Myeloma,7.80,
Black,2008-2012,Male,Not Polk,Myeloma,14.50,0.0680
American Indian/Alaska Native,2008-2012,Male,Not Polk,Myeloma,14.00,0.8492
Asian or Pacific Islander,2008-2012,Male,Not Polk,Myeloma,3.60,0.5499
Hispanic,2008-2012,Male,Not Polk,Myeloma,2.60,0.1131
White,2008-2012,Female,Not Polk,Myeloma,5.30,
Black,2008-2012,Female,Not Polk,Myeloma,22.70,0.0000
American Indian/Alaska Native,2008-2012,Female,Not Polk,Myeloma,23.50,0.1667
Asian or Pacific Islander,2008-2012,Female,Not Polk,Myeloma,0.00,0.1266
Hispanic,2008-2012,Female,Not Polk,Myeloma,5.80,0.9912
White,2013-2017,Male and Female,Not Polk,Myeloma,7.20,
Black,2013-2017,Male and Female,Not Polk,Myeloma,17.40,0.0000
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Myeloma,0.00,0.1935
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Myeloma,3.00,0.0533
Hispanic,2013-2017,Male and Female,Not Polk,Myeloma,3.00,0.0038
White,2013-2017,Male,Not Polk,Myeloma,9.10,
Black,2013-2017,Male,Not Polk,Myeloma,13.60,0.2525
American Indian/Alaska Native,2013-2017,Male,Not Polk,Myeloma,0.00,0.4867
Asian or Pacific Islander,2013-2017,Male,Not Polk,Myeloma,2.30,0.0864
Hispanic,2013-2017,Male,Not Polk,Myeloma,2.30,0.0008
White,2013-2017,Female,Not Polk,Myeloma,5.60,
Black,2013-2017,Female,Not Polk,Myeloma,21.00,0.0000
American Indian/Alaska Native,2013-2017,Female,Not Polk,Myeloma,0.00,0.6745
Asian or Pacific Islander,2013-2017,Female,Not Polk,Myeloma,3.40,0.5479
Hispanic,2013-2017,Female,Not Polk,Myeloma,3.70,0.3898
White,2018-2022,Male and Female,Not Polk,Myeloma,7.30,
Black,2018-2022,Male and Female,Not Polk,Myeloma,16.90,0.0000
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Myeloma,3.30,0.4995
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Myeloma,4.00,0.0833
Hispanic,2018-2022,Male and Female,Not Polk,Myeloma,4.60,0.0421
White,2018-2022,Male,Not Polk,Myeloma,9.20,
Black,2018-2022,Male,Not Polk,Myeloma,18.10,0.0036
American Indian/Alaska Native,2018-2022,Male,Not Polk,Myeloma,0.00,0.3184
Asian or Pacific Islander,2018-2022,Male,Not Polk,Myeloma,5.20,0.3148
Hispanic,2018-2022,Male,Not Polk,Myeloma,4.80,0.0379
White,2018-2022,Female,Not Polk,Myeloma,5.80,
Black,2018-2022,Female,Not Polk,Myeloma,15.20,0.0004
American Indian/Alaska Native,2018-2022,Female,Not Polk,Myeloma,6.00,1.0000
Asian or Pacific Islander,2018-2022,Female,Not Polk,Myeloma,3.00,0.2724
Hispanic,2018-2022,Female,Not Polk,Myeloma,4.30,0.4745
